"year","agencies_adopted","cumulative_adoption"
1985,1,1
1990,1,2
1991,338,340
1992,292,632
1993,52,684
1994,152,836
1995,370,1206
1996,223,1429
1997,376,1805
1998,491,2296
1999,505,2801
2000,520,3321
2001,222,3543
2002,237,3780
2003,462,4242
2004,354,4596
2005,252,4848
2006,197,5045
2007,147,5192
2008,279,5471
2009,446,5917
2010,153,6070
2011,206,6276
2012,202,6478
2013,148,6626
2014,149,6775
2015,183,6958
2016,159,7117
2017,246,7363
2018,447,7810
2019,1473,9283
2020,1564,10847
2021,2664,13511
2022,921,14432
2023,637,15069
2024,36,15105
