"state","total_agencies","nibrs_adopting","non_nibrs","nibrs_percent"
"Alabama",446,415,31,93.0493273542601
"Alaska",39,32,7,82.051282051282
"Arizona",126,100,26,79.3650793650794
"Arkansas",316,313,3,99.0506329113924
"California",859,634,225,73.8067520372526
"Colorado",249,245,4,98.3935742971888
"Connecticut",108,108,0,100
"Delaware",63,63,0,100
"Florida",758,133,625,17.5461741424802
"Georgia",663,499,164,75.26395173454
"Hawaii",4,4,0,100
"Idaho",112,112,0,100
"Illinois",923,635,288,68.7973997833153
"Indiana",357,260,97,72.8291316526611
"Iowa",289,286,3,98.961937716263
"Kansas",408,406,2,99.5098039215686
"Kentucky",437,436,1,99.7711670480549
"Louisiana",235,165,70,70.2127659574468
"Maine",131,131,0,100
"Maryland",157,139,18,88.5350318471338
"Massachusetts",420,398,22,94.7619047619048
"Michigan",636,634,2,99.685534591195
"Minnesota",411,409,2,99.5133819951338
"Mississippi",276,168,108,60.8695652173913
"Missouri",599,537,62,89.6494156928214
"Montana",115,115,0,100
"Nebraska",287,283,4,98.6062717770035
"Nevada",72,61,11,84.7222222222222
"New Hampshire",221,216,5,97.737556561086
"New Jersey",578,346,232,59.8615916955017
"New Mexico",130,104,26,80
"New York",590,185,405,31.3559322033898
"North Carolina",535,442,93,82.6168224299065
"North Dakota",111,111,0,100
"Ohio",855,813,42,95.0877192982456
"Oklahoma",462,462,0,100
"Oregon",237,234,3,98.7341772151899
"Pennsylvania",1477,171,1306,11.5775220040623
"Rhode Island",49,48,1,97.9591836734694
"South Carolina",514,513,1,99.8054474708171
"South Dakota",141,141,0,100
"Tennessee",412,411,1,99.7572815533981
"Texas",1477,1393,84,94.3127962085308
"Utah",146,144,2,98.6301369863014
"Vermont",87,87,0,100
"Virginia",420,420,0,100
"Washington",270,270,0,100
"West Virginia",430,426,4,99.0697674418605
"Wisconsin",458,394,64,86.0262008733624
"Wyoming",70,53,17,75.7142857142857
